Angle (deg),Magnitude (dB),Phase (deg)
84.6,-15.165,-95.2117
84.7,-15.1121,-98.3343
84.8,-15.0342,-101.469
84.9,-14.9311,-104.599
85.0,-14.8033,-107.706
85.1,-14.6514,-110.777
85.2,-14.4765,-113.795
85.3,-14.28,-116.748
85.4,-14.0636,-119.624
85.5,-13.8289,-122.414
85.6,-13.5779,-125.111
85.7,-13.3123,-127.71
85.8,-13.0341,-130.209
85.9,-12.745,-132.606
86.0,-12.4467,-134.9
86.1,-12.1407,-137.093
86.2,-11.8284,-139.188
86.3,-11.5111,-141.187
86.4,-11.1899,-143.094
86.5,-10.8658,-144.913
86.6,-10.5397,-146.648
86.7,-10.2122,-148.304
86.8,-9.88403,-149.884
86.9,-9.5557,-151.393
87.0,-9.22763,-152.836
87.1,-8.90018,-154.216
87.2,-8.57364,-155.538
87.3,-8.24832,-156.805
87.4,-7.92432,-158.021
87.5,-7.60181,-159.189
87.6,-7.28091,-160.313
87.7,-6.96164,-161.396
87.8,-6.64409,-162.441
87.9,-6.32829,-163.45
88.0,-6.01418,-164.427
88.1,-5.70178,-165.372
88.2,-5.39105,-166.29
88.3,-5.08194,-167.181
88.4,-4.7744,-168.049
88.5,-4.46839,-168.894
88.6,-4.16378,-169.72
88.7,-3.86051,-170.526
88.8,-3.55855,-171.316
88.9,-3.25775,-172.091
89.0,-2.95805,-172.852
89.1,-2.65937,-173.601
89.2,-2.36156,-174.339
89.3,-2.06458,-175.067
89.4,-1.76831,-175.787
89.5,-1.47267,-176.499
89.6,-1.17752,-177.207
89.7,-0.882756,-177.909
89.8,-0.588344,-178.608
89.9,-0.294117,-179.305
90.0,7.36579e-06,180.0
