Angle (deg),Magnitude (dB),Phase (deg)
56.1,-35.5527,-117.302
56.2,-35.049,-118.59
56.3,-34.5689,-119.73
56.4,-34.111,-120.745
56.5,-33.6736,-121.65
56.6,-33.2552,-122.463
56.7,-32.8546,-123.195
56.8,-32.4704,-123.855
56.9,-32.1015,-124.454
57.0,-31.7468,-124.998
57.1,-31.4054,-125.494
57.2,-31.0765,-125.947
57.3,-30.7591,-126.361
57.4,-30.4527,-126.741
57.5,-30.1564,-127.09
57.6,-29.8698,-127.411
57.7,-29.5922,-127.707
57.8,-29.3231,-127.98
57.9,-29.0621,-128.233
58.0,-28.8087,-128.466
58.1,-28.5625,-128.682
58.2,-28.3232,-128.883
58.3,-28.0903,-129.069
58.4,-27.8636,-129.242
58.5,-27.6427,-129.402
58.6,-27.4275,-129.551
58.7,-27.2175,-129.69
58.8,-27.0126,-129.819
58.9,-26.8126,-129.939
59.0,-26.6172,-130.051
59.1,-26.4263,-130.155
59.2,-26.2396,-130.252
59.3,-26.057,-130.342
59.4,-25.8784,-130.426
59.5,-25.7034,-130.505
59.6,-25.5321,-130.577
59.7,-25.3643,-130.645
59.8,-25.1998,-130.708
59.9,-25.0386,-130.767
60.0,-24.8804,-130.822
60.1,-24.7252,-130.872
60.2,-24.573,-130.919
60.3,-24.4235,-130.963
60.4,-24.2767,-131.003
60.5,-24.1325,-131.041
60.6,-23.9909,-131.075
60.7,-23.8516,-131.107
60.8,-23.7148,-131.137
60.9,-23.5802,-131.164
61.0,-23.4478,-131.189
61.1,-23.3176,-131.212
61.2,-23.1895,-131.234
61.3,-23.0634,-131.253
61.4,-22.9393,-131.271
61.5,-22.817,-131.287
61.6,-22.6966,-131.301
61.7,-22.578,-131.315
61.8,-22.4612,-131.327
61.9,-22.3461,-131.338
62.0,-22.2326,-131.347
62.1,-22.1207,-131.356
62.2,-22.0104,-131.364
62.3,-21.9016,-131.371
62.4,-21.7944,-131.377
62.5,-21.6885,-131.382
62.6,-21.5841,-131.386
62.7,-21.481,-131.39
62.8,-21.3793,-131.394
62.9,-21.2789,-131.396
63.0,-21.1798,-131.399
63.1,-21.0819,-131.401
63.2,-20.9853,-131.402
63.3,-20.8898,-131.403
63.4,-20.7955,-131.404
63.5,-20.7023,-131.405
63.6,-20.6102,-131.405
63.7,-20.5192,-131.405
63.8,-20.4293,-131.405
63.9,-20.3404,-131.405
64.0,-20.2525,-131.405
64.1,-20.1655,-131.405
64.2,-20.0796,-131.405
64.3,-19.9946,-131.404
64.4,-19.9105,-131.404
64.5,-19.8273,-131.404
64.6,-19.745,-131.404
64.7,-19.6636,-131.404
64.8,-19.583,-131.404
64.9,-19.5032,-131.405
65.0,-19.4242,-131.405
65.1,-19.3461,-131.406
65.2,-19.2687,-131.407
65.3,-19.192,-131.409
65.4,-19.1162,-131.41
65.5,-19.041,-131.412
65.6,-18.9665,-131.414
65.7,-18.8928,-131.417
65.8,-18.8197,-131.42
65.9,-18.7473,-131.423
66.0,-18.6755,-131.427
66.1,-18.6044,-131.431
66.2,-18.5339,-131.435
