Angle (deg),Magnitude (dB),Phase (deg)
41.1,-6.14385,178.125
41.2,-6.13468,178.13
41.3,-6.12549,178.135
41.4,-6.11629,178.139
41.5,-6.10708,178.144
41.6,-6.09786,178.149
41.7,-6.08863,178.154
41.8,-6.07939,178.158
41.9,-6.07015,178.163
42.0,-6.06089,178.168
42.1,-6.05162,178.173
42.2,-6.04234,178.178
42.3,-6.03305,178.183
42.4,-6.02375,178.188
42.5,-6.01445,178.193
42.6,-6.00513,178.198
42.7,-5.9958,178.203
42.8,-5.98647,178.208
42.9,-5.97712,178.213
43.0,-5.96776,178.218
43.1,-5.9584,178.223
43.2,-5.94903,178.228
43.3,-5.93964,178.232
43.4,-5.93025,178.237
43.5,-5.92084,178.242
43.6,-5.91143,178.247
43.7,-5.90201,178.252
43.8,-5.89258,178.257
43.9,-5.88313,178.262
44.0,-5.87368,178.267
44.1,-5.86422,178.272
44.2,-5.85475,178.277
44.3,-5.84526,178.282
44.4,-5.83577,178.287
44.5,-5.82627,178.291
44.6,-5.81675,178.296
44.7,-5.80723,178.301
44.8,-5.79769,178.306
44.9,-5.78815,178.31
45.0,-5.77859,178.315
45.1,-5.76902,178.32
45.2,-5.75944,178.324
45.3,-5.74985,178.329
45.4,-5.74025,178.334
45.5,-5.73064,178.338
45.6,-5.72101,178.343
45.7,-5.71137,178.347
45.8,-5.70173,178.351
45.9,-5.69206,178.356
46.0,-5.68239,178.36
46.1,-5.6727,178.364
46.2,-5.663,178.369
46.3,-5.65329,178.373
46.4,-5.64356,178.377
46.5,-5.63382,178.381
46.6,-5.62407,178.385
46.7,-5.6143,178.389
46.8,-5.60452,178.393
46.9,-5.59472,178.397
47.0,-5.58491,178.401
47.1,-5.57508,178.405
47.2,-5.56524,178.409
47.3,-5.55539,178.412
47.4,-5.54552,178.416
47.5,-5.53563,178.42
47.6,-5.52573,178.423
47.7,-5.51581,178.427
47.8,-5.50588,178.43
47.9,-5.49592,178.434
48.0,-5.48596,178.437
48.1,-5.47597,178.44
48.2,-5.46597,178.444
48.3,-5.45595,178.447
48.4,-5.44591,178.45
48.5,-5.43586,178.453
48.6,-5.42579,178.456
48.7,-5.4157,178.459
48.8,-5.40559,178.462
48.9,-5.39546,178.465
49.0,-5.38531,178.468
49.1,-5.37515,178.47
49.2,-5.36496,178.473
49.3,-5.35476,178.476
49.4,-5.34453,178.479
49.5,-5.33429,178.481
49.6,-5.32402,178.484
49.7,-5.31374,178.486
49.8,-5.30343,178.489
49.9,-5.29311,178.491
50.0,-5.28276,178.493
50.1,-5.27239,178.496
50.2,-5.26201,178.498
50.3,-5.2516,178.5
50.4,-5.24116,178.502
50.5,-5.23071,178.504
50.6,-5.22024,178.507
50.7,-5.20974,178.509
50.8,-5.19922,178.511
50.9,-5.18868,178.513
51.0,-5.17811,178.515
51.1,-5.16753,178.516
51.2,-5.15692,178.518
51.3,-5.14628,178.52
51.4,-5.13563,178.522
51.5,-5.12495,178.524
51.6,-5.11425,178.525
51.7,-5.10353,178.527
51.8,-5.09278,178.529
51.9,-5.08201,178.531
52.0,-5.07121,178.532
52.1,-5.06039,178.534
52.2,-5.04955,178.535
52.3,-5.03868,178.537
52.4,-5.0278,178.538
52.5,-5.01688,178.54
52.6,-5.00594,178.542
52.7,-4.99498,178.543
52.8,-4.984,178.544
52.9,-4.97299,178.546
53.0,-4.96196,178.547
53.1,-4.9509,178.549
53.2,-4.93982,178.55
53.3,-4.92871,178.552
53.4,-4.91758,178.553
53.5,-4.90643,178.555
53.6,-4.89525,178.556
53.7,-4.88405,178.557
53.8,-4.87283,178.559
53.9,-4.86158,178.56
54.0,-4.85031,178.562
54.1,-4.83901,178.563
54.2,-4.82769,178.564
54.3,-4.81634,178.566
54.4,-4.80498,178.567
54.5,-4.79359,178.569
54.6,-4.78217,178.57
54.7,-4.77073,178.572
54.8,-4.75927,178.573
54.9,-4.74779,178.575
55.0,-4.73628,178.576
55.1,-4.72475,178.578
55.2,-4.71319,178.579
55.3,-4.70162,178.581
55.4,-4.69002,178.582
55.5,-4.67839,178.584
55.6,-4.66675,178.585
55.7,-4.65508,178.587
55.8,-4.64339,178.589
55.9,-4.63168,178.59
56.0,-4.61995,178.592
56.1,-4.60819,178.594
56.2,-4.59642,178.596
56.3,-4.58462,178.597
56.4,-4.5728,178.599
56.5,-4.56096,178.601
56.6,-4.5491,178.603
56.7,-4.53721,178.605
56.8,-4.52531,178.607
56.9,-4.51339,178.609
57.0,-4.50144,178.611
57.1,-4.48948,178.613
57.2,-4.47749,178.615
57.3,-4.46549,178.617
57.4,-4.45346,178.619
57.5,-4.44142,178.621
57.6,-4.42936,178.623
57.7,-4.41727,178.626
57.8,-4.40517,178.628
57.9,-4.39305,178.63
58.0,-4.38092,178.633
58.1,-4.36876,178.635
58.2,-4.35658,178.638
58.3,-4.34439,178.64
58.4,-4.33218,178.643
58.5,-4.31995,178.645
58.6,-4.30771,178.648
58.7,-4.29544,178.651
58.8,-4.28316,178.653
58.9,-4.27087,178.656
59.0,-4.25855,178.659
59.1,-4.24622,178.662
59.2,-4.23388,178.665
59.3,-4.22151,178.667
59.4,-4.20914,178.67
59.5,-4.19674,178.673
59.6,-4.18433,178.676
59.7,-4.17191,178.68
59.8,-4.15947,178.683
59.9,-4.14701,178.686
60.0,-4.13454,178.689
60.1,-4.12206,178.692
60.2,-4.10956,178.696
60.3,-4.09705,178.699
60.4,-4.08452,178.702
60.5,-4.07198,178.706
60.6,-4.05942,178.709
60.7,-4.04685,178.713
60.8,-4.03427,178.716
60.9,-4.02168,178.72
61.0,-4.00907,178.724
61.1,-3.99645,178.727
61.2,-3.98381,178.731
61.3,-3.97117,178.735
61.4,-3.95851,178.738
61.5,-3.94584,178.742
61.6,-3.93315,178.746
61.7,-3.92046,178.75
61.8,-3.90775,178.754
61.9,-3.89503,178.758
62.0,-3.8823,178.762
62.1,-3.86956,178.766
62.2,-3.85681,178.77
62.3,-3.84404,178.774
62.4,-3.83127,178.778
62.5,-3.81848,178.782
62.6,-3.80568,178.786
62.7,-3.79287,178.791
62.8,-3.78005,178.795
62.9,-3.76723,178.799
63.0,-3.75439,178.804
63.1,-3.74154,178.808
63.2,-3.72868,178.812
63.3,-3.71581,178.817
63.4,-3.70293,178.821
63.5,-3.69004,178.825
63.6,-3.67714,178.83
63.7,-3.66423,178.834
63.8,-3.65131,178.839
63.9,-3.63838,178.843
64.0,-3.62544,178.848
64.1,-3.61249,178.853
64.2,-3.59954,178.857
64.3,-3.58657,178.862
64.4,-3.57359,178.866
64.5,-3.56061,178.871
64.6,-3.54762,178.876
64.7,-3.53461,178.88
64.8,-3.5216,178.885
64.9,-3.50858,178.89
65.0,-3.49555,178.895
65.1,-3.48252,178.899
65.2,-3.46947,178.904
65.3,-3.45641,178.909
65.4,-3.44335,178.914
65.5,-3.43028,178.918
65.6,-3.4172,178.923
65.7,-3.40411,178.928
65.8,-3.39101,178.933
65.9,-3.3779,178.938
66.0,-3.36479,178.943
66.1,-3.35166,178.947
66.2,-3.33853,178.952
66.3,-3.32539,178.957
66.4,-3.31224,178.962
66.5,-3.29909,178.967
66.6,-3.28592,178.972
66.7,-3.27275,178.977
66.8,-3.25957,178.982
66.9,-3.24638,178.987
67.0,-3.23318,178.991
67.1,-3.21997,178.996
67.2,-3.20676,179.001
67.3,-3.19353,179.006
67.4,-3.1803,179.011
67.5,-3.16706,179.016
67.6,-3.15382,179.021
67.7,-3.14056,179.026
67.8,-3.1273,179.031
67.9,-3.11402,179.036
68.0,-3.10074,179.041
68.1,-3.08745,179.045
68.2,-3.07416,179.05
68.3,-3.06085,179.055
68.4,-3.04754,179.06
68.5,-3.03422,179.065
68.6,-3.02089,179.07
68.7,-3.00755,179.075
68.8,-2.9942,179.08
68.9,-2.98085,179.085
69.0,-2.96748,179.089
69.1,-2.95411,179.094
69.2,-2.94073,179.099
69.3,-2.92734,179.104
69.4,-2.91395,179.109
69.5,-2.90054,179.114
69.6,-2.88713,179.119
69.7,-2.87371,179.123
69.8,-2.86028,179.128
69.9,-2.84684,179.133
70.0,-2.83339,179.138
70.1,-2.81994,179.143
70.2,-2.80648,179.147
70.3,-2.793,179.152
70.4,-2.77952,179.157
70.5,-2.76603,179.162
70.6,-2.75254,179.166
70.7,-2.73903,179.171
70.8,-2.72552,179.176
70.9,-2.71199,179.181
71.0,-2.69846,179.185
71.1,-2.68492,179.19
71.2,-2.67138,179.195
71.3,-2.65782,179.199
71.4,-2.64425,179.204
71.5,-2.63068,179.209
71.6,-2.6171,179.214
71.7,-2.60351,179.218
71.8,-2.58991,179.223
71.9,-2.5763,179.227
72.0,-2.56268,179.232
72.1,-2.54906,179.237
72.2,-2.53542,179.241
72.3,-2.52178,179.246
72.4,-2.50813,179.25
72.5,-2.49447,179.255
72.6,-2.4808,179.26
72.7,-2.46712,179.264
72.8,-2.45344,179.269
72.9,-2.43974,179.273
73.0,-2.42604,179.278
73.1,-2.41233,179.282
73.2,-2.39861,179.287
73.3,-2.38488,179.291
73.4,-2.37114,179.296
73.5,-2.3574,179.3
73.6,-2.34364,179.305
73.7,-2.32988,179.309
73.8,-2.31611,179.314
73.9,-2.30233,179.318
74.0,-2.28854,179.323
74.1,-2.27474,179.327
74.2,-2.26094,179.331
74.3,-2.24713,179.336
74.4,-2.2333,179.34
74.5,-2.21947,179.345
74.6,-2.20563,179.349
74.7,-2.19179,179.353
74.8,-2.17793,179.358
74.9,-2.16407,179.362
75.0,-2.15019,179.366
75.1,-2.13631,179.371
75.2,-2.12242,179.375
75.3,-2.10853,179.38
75.4,-2.09462,179.384
75.5,-2.08071,179.388
75.6,-2.06678,179.393
75.7,-2.05285,179.397
75.8,-2.03891,179.401
75.9,-2.02497,179.405
76.0,-2.01101,179.41
76.1,-1.99705,179.414
76.2,-1.98308,179.418
76.3,-1.9691,179.423
76.4,-1.95511,179.427
76.5,-1.94112,179.431
76.6,-1.92711,179.435
76.7,-1.9131,179.44
76.8,-1.89908,179.444
76.9,-1.88506,179.448
77.0,-1.87102,179.452
77.1,-1.85698,179.457
77.2,-1.84293,179.461
77.3,-1.82887,179.465
77.4,-1.81481,179.469
77.5,-1.80074,179.474
77.6,-1.78666,179.478
77.7,-1.77257,179.482
77.8,-1.75847,179.486
77.9,-1.74437,179.49
78.0,-1.73026,179.495
78.1,-1.71614,179.499
78.2,-1.70202,179.503
78.3,-1.68789,179.507
78.4,-1.67375,179.511
78.5,-1.6596,179.516
78.6,-1.64545,179.52
78.7,-1.63129,179.524
78.8,-1.61712,179.528
78.9,-1.60295,179.532
79.0,-1.58877,179.536
79.1,-1.57458,179.541
79.2,-1.56038,179.545
79.3,-1.54618,179.549
79.4,-1.53197,179.553
79.5,-1.51776,179.557
79.6,-1.50354,179.562
79.7,-1.48931,179.566
79.8,-1.47507,179.57
79.9,-1.46083,179.574
80.0,-1.44659,179.578
80.1,-1.43233,179.582
80.2,-1.41807,179.587
80.3,-1.40381,179.591
80.4,-1.38953,179.595
80.5,-1.37526,179.599
80.6,-1.36097,179.603
80.7,-1.34668,179.607
80.8,-1.33239,179.612
80.9,-1.31808,179.616
81.0,-1.30378,179.62
81.1,-1.28946,179.624
81.2,-1.27514,179.628
81.3,-1.26082,179.633
81.4,-1.24649,179.637
81.5,-1.23215,179.641
81.6,-1.21781,179.645
81.7,-1.20346,179.649
81.8,-1.18911,179.653
81.9,-1.17475,179.658
82.0,-1.16039,179.662
82.1,-1.14602,179.666
82.2,-1.13165,179.67
82.3,-1.11727,179.674
82.4,-1.10289,179.678
82.5,-1.0885,179.683
82.6,-1.07411,179.687
82.7,-1.05971,179.691
82.8,-1.04531,179.695
82.9,-1.0309,179.699
83.0,-1.01649,179.704
83.1,-1.00207,179.708
83.2,-0.987651,179.712
83.3,-0.973226,179.716
83.4,-0.958797,179.72
83.5,-0.944363,179.725
83.6,-0.929925,179.729
83.7,-0.915483,179.733
83.8,-0.901036,179.737
83.9,-0.886586,179.741
84.0,-0.872132,179.746
84.1,-0.857674,179.75
84.2,-0.843212,179.754
84.3,-0.828746,179.758
84.4,-0.814276,179.762
84.5,-0.799803,179.767
84.6,-0.785326,179.771
84.7,-0.770846,179.775
84.8,-0.756362,179.779
84.9,-0.741875,179.783
85.0,-0.727384,179.788
85.1,-0.71289,179.792
85.2,-0.698393,179.796
85.3,-0.683893,179.8
85.4,-0.66939,179.805
85.5,-0.654883,179.809
85.6,-0.640374,179.813
85.7,-0.625862,179.817
85.8,-0.611347,179.822
85.9,-0.596829,179.826
86.0,-0.582308,179.83
86.1,-0.567785,179.834
86.2,-0.553259,179.838
86.3,-0.538731,179.843
86.4,-0.5242,179.847
86.5,-0.509667,179.851
86.6,-0.495132,179.855
86.7,-0.480594,179.86
86.8,-0.466054,179.864
86.9,-0.451512,179.868
87.0,-0.436968,179.872
