Angle (deg),Magnitude (dB),Phase (deg)
30.7,-16.0994,79.4102
30.8,-15.6284,79.3471
30.9,-15.1797,79.3716
31.0,-14.7515,79.4717
31.1,-14.3422,79.6375
31.2,-13.9507,79.8606
31.3,-13.5755,80.1341
31.4,-13.2156,80.452
31.5,-12.8701,80.8091
31.6,-12.5379,81.2011
31.7,-12.2184,81.6241
31.8,-11.9107,82.0748
31.9,-11.6141,82.5503
32.0,-11.3281,83.0481
32.1,-11.0521,83.5658
32.2,-10.7856,84.1015
32.3,-10.528,84.6533
32.4,-10.279,85.2197
32.5,-10.0382,85.7992
32.6,-9.80507,86.3904
32.7,-9.57938,86.9922
32.8,-9.36077,87.6036
32.9,-9.14895,88.2235
33.0,-8.94363,88.851
33.1,-8.74455,89.4853
33.2,-8.55145,90.1256
33.3,-8.3641,90.7714
33.4,-8.18229,91.4218
33.5,-8.0058,92.0763
33.6,-7.83444,92.7344
33.7,-7.66803,93.3955
33.8,-7.50639,94.0592
33.9,-7.34936,94.725
34.0,-7.19677,95.3925
34.1,-7.04848,96.0614
34.2,-6.90435,96.7312
34.3,-6.76423,97.4016
34.4,-6.628,98.0723
34.5,-6.49554,98.7431
34.6,-6.36673,99.4136
34.7,-6.24144,100.084
34.8,-6.11958,100.753
34.9,-6.00104,101.421
35.0,-5.88571,102.088
35.1,-5.77351,102.754
35.2,-5.66433,103.418
35.3,-5.55809,104.08
35.4,-5.45471,104.741
35.5,-5.35409,105.4
35.6,-5.25616,106.056
35.7,-5.16085,106.71
35.8,-5.06807,107.361
35.9,-4.97776,108.011
36.0,-4.88984,108.657
36.1,-4.80425,109.301
36.2,-4.72093,109.942
36.3,-4.6398,110.58
36.4,-4.56082,111.215
36.5,-4.48391,111.847
36.6,-4.40903,112.476
36.7,-4.33612,113.102
36.8,-4.26512,113.724
36.9,-4.19598,114.344
37.0,-4.12866,114.96
37.1,-4.0631,115.573
37.2,-3.99925,116.183
37.3,-3.93708,116.789
37.4,-3.87653,117.392
37.5,-3.81757,117.992
37.6,-3.76015,118.588
37.7,-3.70422,119.181
37.8,-3.64976,119.771
37.9,-3.59673,120.357
38.0,-3.54508,120.94
38.1,-3.49478,121.519
38.2,-3.4458,122.096
38.3,-3.3981,122.669
38.4,-3.35165,123.238
38.5,-3.30642,123.804
38.6,-3.26238,124.367
38.7,-3.2195,124.927
38.8,-3.17774,125.484
38.9,-3.13709,126.037
39.0,-3.09752,126.587
39.1,-3.05899,127.134
39.2,-3.02148,127.678
39.3,-2.98498,128.219
39.4,-2.94945,128.757
39.5,-2.91487,129.292
39.6,-2.88123,129.824
39.7,-2.84849,130.353
39.8,-2.81664,130.879
39.9,-2.78565,131.402
40.0,-2.75552,131.923
40.1,-2.72621,132.441
40.2,-2.69771,132.956
40.3,-2.67001,133.468
40.4,-2.64309,133.978
40.5,-2.61692,134.486
40.6,-2.5915,134.99
40.7,-2.5668,135.493
40.8,-2.54282,135.993
40.9,-2.51954,136.49
41.0,-2.49695,136.986
41.1,-2.47503,137.479
41.2,-2.45377,137.97
41.3,-2.43316,138.459
41.4,-2.41319,138.945
41.5,-2.39384,139.43
41.6,-2.3751,139.913
41.7,-2.35698,140.393
41.8,-2.33944,140.872
41.9,-2.3225,141.35
42.0,-2.30613,141.825
42.1,-2.29033,142.299
42.2,-2.27509,142.771
42.3,-2.2604,143.242
42.4,-2.24626,143.711
42.5,-2.23266,144.179
42.6,-2.2196,144.645
42.7,-2.20706,145.11
42.8,-2.19504,145.574
42.9,-2.18355,146.037
43.0,-2.17256,146.499
43.1,-2.16209,146.959
43.2,-2.15212,147.419
43.3,-2.14265,147.878
43.4,-2.13369,148.336
43.5,-2.12522,148.793
43.6,-2.11725,149.25
43.7,-2.10977,149.706
43.8,-2.10279,150.162
43.9,-2.09629,150.617
44.0,-2.0903,151.072
44.1,-2.08479,151.527
44.2,-2.07978,151.981
44.3,-2.07527,152.435
44.4,-2.07125,152.89
44.5,-2.06773,153.344
44.6,-2.06472,153.799
44.7,-2.06222,154.254
