Angle (deg),Magnitude (dB),Phase (deg)
42.3,-3.72784,150.965
42.4,-3.72163,151.01
42.5,-3.71541,151.055
42.6,-3.70918,151.101
42.7,-3.70294,151.146
42.8,-3.69669,151.191
42.9,-3.69043,151.236
43.0,-3.68415,151.282
43.1,-3.67787,151.327
43.2,-3.67158,151.373
43.3,-3.66528,151.419
43.4,-3.65896,151.465
43.5,-3.65264,151.511
43.6,-3.64631,151.557
43.7,-3.63996,151.603
43.8,-3.63361,151.649
43.9,-3.62724,151.695
44.0,-3.62087,151.742
44.1,-3.61448,151.788
44.2,-3.60809,151.835
44.3,-3.60168,151.881
44.4,-3.59527,151.928
44.5,-3.58884,151.975
44.6,-3.5824,152.022
44.7,-3.57596,152.069
44.8,-3.5695,152.116
44.9,-3.56304,152.163
45.0,-3.55656,152.211
45.1,-3.55008,152.258
45.2,-3.54358,152.306
45.3,-3.53708,152.353
45.4,-3.53056,152.401
45.5,-3.52404,152.448
45.6,-3.5175,152.496
45.7,-3.51096,152.544
45.8,-3.5044,152.592
45.9,-3.49784,152.64
46.0,-3.49126,152.689
46.1,-3.48468,152.737
46.2,-3.47809,152.785
46.3,-3.47148,152.834
46.4,-3.46487,152.882
46.5,-3.45825,152.931
46.6,-3.45162,152.979
46.7,-3.44498,153.028
46.8,-3.43833,153.077
46.9,-3.43167,153.126
47.0,-3.425,153.175
47.1,-3.41832,153.224
47.2,-3.41163,153.274
47.3,-3.40493,153.323
47.4,-3.39823,153.372
47.5,-3.39151,153.422
47.6,-3.38479,153.471
47.7,-3.37805,153.521
47.8,-3.37131,153.571
47.9,-3.36455,153.621
48.0,-3.35779,153.67
48.1,-3.35102,153.72
48.2,-3.34424,153.771
48.3,-3.33745,153.821
48.4,-3.33065,153.871
48.5,-3.32384,153.921
48.6,-3.31702,153.972
48.7,-3.3102,154.022
48.8,-3.30336,154.073
48.9,-3.29652,154.124
49.0,-3.28967,154.174
49.1,-3.2828,154.225
49.2,-3.27593,154.276
49.3,-3.26905,154.327
49.4,-3.26217,154.378
49.5,-3.25527,154.429
49.6,-3.24836,154.481
49.7,-3.24145,154.532
49.8,-3.23452,154.583
49.9,-3.22759,154.635
50.0,-3.22065,154.687
50.1,-3.2137,154.738
50.2,-3.20674,154.79
50.3,-3.19977,154.842
50.4,-3.1928,154.894
50.5,-3.18581,154.946
50.6,-3.17882,154.998
50.7,-3.17182,155.05
50.8,-3.16481,155.102
50.9,-3.15779,155.155
51.0,-3.15076,155.207
51.1,-3.14373,155.26
51.2,-3.13669,155.312
51.3,-3.12963,155.365
51.4,-3.12257,155.418
51.5,-3.11551,155.47
51.6,-3.10843,155.523
51.7,-3.10134,155.576
51.8,-3.09425,155.629
51.9,-3.08715,155.682
52.0,-3.08004,155.736
52.1,-3.07292,155.789
52.2,-3.06579,155.842
52.3,-3.05866,155.896
52.4,-3.05152,155.949
52.5,-3.04437,156.003
52.6,-3.03721,156.057
52.7,-3.03004,156.11
52.8,-3.02287,156.164
52.9,-3.01569,156.218
53.0,-3.00849,156.272
53.1,-3.0013,156.326
53.2,-2.99409,156.38
53.3,-2.98688,156.435
53.4,-2.97965,156.489
53.5,-2.97242,156.543
53.6,-2.96519,156.598
53.7,-2.95794,156.652
53.8,-2.95069,156.707
53.9,-2.94343,156.762
54.0,-2.93616,156.817
54.1,-2.92888,156.871
54.2,-2.9216,156.926
54.3,-2.91431,156.981
54.4,-2.90701,157.036
54.5,-2.8997,157.092
54.6,-2.89239,157.147
54.7,-2.88507,157.202
54.8,-2.87774,157.258
54.9,-2.8704,157.313
55.0,-2.86306,157.368
55.1,-2.8557,157.424
55.2,-2.84835,157.48
55.3,-2.84098,157.536
55.4,-2.83361,157.591
55.5,-2.82622,157.647
55.6,-2.81884,157.703
55.7,-2.81144,157.759
55.8,-2.80404,157.815
55.9,-2.79663,157.872
56.0,-2.78921,157.928
56.1,-2.78179,157.984
56.2,-2.77435,158.041
56.3,-2.76692,158.097
56.4,-2.75947,158.154
56.5,-2.75202,158.21
56.6,-2.74456,158.267
56.7,-2.73709,158.324
56.8,-2.72962,158.381
56.9,-2.72213,158.438
57.0,-2.71465,158.495
57.1,-2.70715,158.552
57.2,-2.69965,158.609
57.3,-2.69214,158.666
57.4,-2.68463,158.723
57.5,-2.6771,158.781
57.6,-2.66957,158.838
57.7,-2.66204,158.896
57.8,-2.65449,158.953
57.9,-2.64694,159.011
58.0,-2.63939,159.068
58.1,-2.63183,159.126
58.2,-2.62426,159.184
58.3,-2.61668,159.242
58.4,-2.6091,159.3
58.5,-2.60151,159.358
58.6,-2.59391,159.416
58.7,-2.58631,159.474
58.8,-2.5787,159.533
58.9,-2.57108,159.591
59.0,-2.56346,159.649
59.1,-2.55583,159.708
59.2,-2.5482,159.766
59.3,-2.54056,159.825
59.4,-2.53291,159.883
59.5,-2.52525,159.942
59.6,-2.51759,160.001
59.7,-2.50993,160.06
59.8,-2.50225,160.119
59.9,-2.49457,160.178
60.0,-2.48689,160.237
60.1,-2.4792,160.296
60.2,-2.4715,160.355
60.3,-2.46379,160.414
60.4,-2.45608,160.474
60.5,-2.44837,160.533
60.6,-2.44064,160.593
60.7,-2.43292,160.652
60.8,-2.42518,160.712
60.9,-2.41744,160.771
61.0,-2.40969,160.831
61.1,-2.40194,160.891
61.2,-2.39418,160.951
61.3,-2.38642,161.01
61.4,-2.37865,161.07
