Angle (deg),Magnitude (dB),Phase (deg)
48.2,-8.28915,-152.354
48.3,-8.28616,-152.264
48.4,-8.28319,-152.174
48.5,-8.28025,-152.084
48.6,-8.27733,-151.994
48.7,-8.27444,-151.905
48.8,-8.27156,-151.816
48.9,-8.26871,-151.727
49.0,-8.26589,-151.638
49.1,-8.26309,-151.549
49.2,-8.26031,-151.461
49.3,-8.25756,-151.372
49.4,-8.25483,-151.284
49.5,-8.25212,-151.196
49.6,-8.24944,-151.109
49.7,-8.24678,-151.021
49.8,-8.24415,-150.934
49.9,-8.24154,-150.847
50.0,-8.23895,-150.761
50.1,-8.23638,-150.674
50.2,-8.23384,-150.588
50.3,-8.23132,-150.502
50.4,-8.22883,-150.416
50.5,-8.22636,-150.331
50.6,-8.22391,-150.245
50.7,-8.22148,-150.16
50.8,-8.21908,-150.075
50.9,-8.2167,-149.991
51.0,-8.21434,-149.907
51.1,-8.21201,-149.822
51.2,-8.2097,-149.739
51.3,-8.20741,-149.655
51.4,-8.20514,-149.572
51.5,-8.2029,-149.489
51.6,-8.20068,-149.406
51.7,-8.19847,-149.324
51.8,-8.1963,-149.242
51.9,-8.19414,-149.16
52.0,-8.19201,-149.078
52.1,-8.1899,-148.997
52.2,-8.18781,-148.916
52.3,-8.18574,-148.835
52.4,-8.18369,-148.755
52.5,-8.18166,-148.675
52.6,-8.17966,-148.595
52.7,-8.17767,-148.515
52.8,-8.17571,-148.436
52.9,-8.17377,-148.357
53.0,-8.17185,-148.279
53.1,-8.16994,-148.2
53.2,-8.16806,-148.122
53.3,-8.1662,-148.045
53.4,-8.16436,-147.967
53.5,-8.16254,-147.89
53.6,-8.16074,-147.814
53.7,-8.15896,-147.738
53.8,-8.15719,-147.662
53.9,-8.15545,-147.586
54.0,-8.15372,-147.511
54.1,-8.15202,-147.436
54.2,-8.15033,-147.361
54.3,-8.14866,-147.287
54.4,-8.14701,-147.213
54.5,-8.14538,-147.139
54.6,-8.14376,-147.066
54.7,-8.14217,-146.994
54.8,-8.14059,-146.921
54.9,-8.13902,-146.849
55.0,-8.13748,-146.777
55.1,-8.13595,-146.706
55.2,-8.13443,-146.635
55.3,-8.13294,-146.565
55.4,-8.13145,-146.495
55.5,-8.12999,-146.425
55.6,-8.12854,-146.356
55.7,-8.1271,-146.287
55.8,-8.12568,-146.218
55.9,-8.12428,-146.15
56.0,-8.12289,-146.082
56.1,-8.12151,-146.015
56.2,-8.12015,-145.948
56.3,-8.1188,-145.882
56.4,-8.11746,-145.816
56.5,-8.11613,-145.75
56.6,-8.11482,-145.685
56.7,-8.11352,-145.62
56.8,-8.11224,-145.556
56.9,-8.11096,-145.492
57.0,-8.10969,-145.428
57.1,-8.10844,-145.365
57.2,-8.1072,-145.303
57.3,-8.10596,-145.241
57.4,-8.10474,-145.179
57.5,-8.10353,-145.118
57.6,-8.10232,-145.057
57.7,-8.10112,-144.997
57.8,-8.09994,-144.937
57.9,-8.09876,-144.878
58.0,-8.09758,-144.819
58.1,-8.09642,-144.761
58.2,-8.09526,-144.703
58.3,-8.0941,-144.646
58.4,-8.09296,-144.589
58.5,-8.09182,-144.533
58.6,-8.09068,-144.477
58.7,-8.08955,-144.422
58.8,-8.08842,-144.367
58.9,-8.08729,-144.312
59.0,-8.08617,-144.259
59.1,-8.08505,-144.205
59.2,-8.08393,-144.153
59.3,-8.08282,-144.1
59.4,-8.0817,-144.049
59.5,-8.08059,-143.998
59.6,-8.07947,-143.947
59.7,-8.07836,-143.897
59.8,-8.07724,-143.847
59.9,-8.07613,-143.798
60.0,-8.07501,-143.75
60.1,-8.07388,-143.702
60.2,-8.07276,-143.655
60.3,-8.07163,-143.608
60.4,-8.07049,-143.562
60.5,-8.06935,-143.516
60.6,-8.06821,-143.471
60.7,-8.06706,-143.427
60.8,-8.0659,-143.383
60.9,-8.06473,-143.34
61.0,-8.06356,-143.297
61.1,-8.06237,-143.255
61.2,-8.06118,-143.214
61.3,-8.05998,-143.173
61.4,-8.05876,-143.133
61.5,-8.05753,-143.093
61.6,-8.05629,-143.054
61.7,-8.05504,-143.016
61.8,-8.05378,-142.978
61.9,-8.0525,-142.941
62.0,-8.0512,-142.904
62.1,-8.04988,-142.869
62.2,-8.04856,-142.833
62.3,-8.04721,-142.799
62.4,-8.04584,-142.765
62.5,-8.04446,-142.732
62.6,-8.04305,-142.699
62.7,-8.04162,-142.667
62.8,-8.04017,-142.636
62.9,-8.0387,-142.605
63.0,-8.0372,-142.575
63.1,-8.03568,-142.546
63.2,-8.03414,-142.518
63.3,-8.03257,-142.49
63.4,-8.03096,-142.463
63.5,-8.02934,-142.436
63.6,-8.02768,-142.41
63.7,-8.02599,-142.385
63.8,-8.02427,-142.361
63.9,-8.02252,-142.337
64.0,-8.02073,-142.314
64.1,-8.01891,-142.292
64.2,-8.01706,-142.271
64.3,-8.01517,-142.25
64.4,-8.01324,-142.23
64.5,-8.01127,-142.211
64.6,-8.00926,-142.192
64.7,-8.00721,-142.174
