Angle (deg),Magnitude (dB),Phase (deg)
36.3,-3.16312,177.516
36.4,-3.15419,177.788
36.5,-3.14573,178.059
36.6,-3.13774,178.33
36.7,-3.13023,178.601
36.8,-3.12318,178.872
36.9,-3.1166,179.142
37.0,-3.11049,179.413
37.1,-3.10484,179.683
37.2,-3.09966,179.953
37.3,-3.09495,-179.777
37.4,-3.09071,-179.507
37.5,-3.08693,-179.238
37.6,-3.08362,-178.969
37.7,-3.08078,-178.7
37.8,-3.07841,-178.431
37.9,-3.07651,-178.162
38.0,-3.07508,-177.893
38.1,-3.07412,-177.625
38.2,-3.07363,-177.357
38.3,-3.07363,-177.089
38.4,-3.0741,-176.821
38.5,-3.07505,-176.554
38.6,-3.07649,-176.286
38.7,-3.07841,-176.019
38.8,-3.08082,-175.752
38.9,-3.08372,-175.485
39.0,-3.08712,-175.218
39.1,-3.09102,-174.952
39.2,-3.09543,-174.686
39.3,-3.10034,-174.419
39.4,-3.10576,-174.153
39.5,-3.11171,-173.888
39.6,-3.11817,-173.622
39.7,-3.12516,-173.357
39.8,-3.13269,-173.092
39.9,-3.14075,-172.827
40.0,-3.14936,-172.562
40.1,-3.15852,-172.298
40.2,-3.16824,-172.034
40.3,-3.17852,-171.77
40.4,-3.18938,-171.506
40.5,-3.20082,-171.243
40.6,-3.21285,-170.98
40.7,-3.22547,-170.717
40.8,-3.2387,-170.455
40.9,-3.25254,-170.193
41.0,-3.26701,-169.931
41.1,-3.28211,-169.67
41.2,-3.29786,-169.409
41.3,-3.31426,-169.148
41.4,-3.33133,-168.888
41.5,-3.34907,-168.629
41.6,-3.3675,-168.37
41.7,-3.38663,-168.111
41.8,-3.40647,-167.853
41.9,-3.42704,-167.596
42.0,-3.44835,-167.339
42.1,-3.47041,-167.084
42.2,-3.49324,-166.828
42.3,-3.51684,-166.574
42.4,-3.54125,-166.321
42.5,-3.56647,-166.068
42.6,-3.59251,-165.817
42.7,-3.61941,-165.566
42.8,-3.64716,-165.317
42.9,-3.67579,-165.069
43.0,-3.70532,-164.822
43.1,-3.73576,-164.577
43.2,-3.76714,-164.333
43.3,-3.79948,-164.091
43.4,-3.83278,-163.85
43.5,-3.86709,-163.611
43.6,-3.9024,-163.375
43.7,-3.93875,-163.14
43.8,-3.97616,-162.907
43.9,-4.01466,-162.677
44.0,-4.05425,-162.449
44.1,-4.09497,-162.224
44.2,-4.13684,-162.002
44.3,-4.17988,-161.783
44.4,-4.22412,-161.567
44.5,-4.26958,-161.354
44.6,-4.31629,-161.145
44.7,-4.36427,-160.94
44.8,-4.41355,-160.74
44.9,-4.46415,-160.543
45.0,-4.5161,-160.352
45.1,-4.56942,-160.165
45.2,-4.62413,-159.984
45.3,-4.68027,-159.808
45.4,-4.73785,-159.638
45.5,-4.79691,-159.475
45.6,-4.85746,-159.319
45.7,-4.91952,-159.169
45.8,-4.98313,-159.028
45.9,-5.04829,-158.894
46.0,-5.11503,-158.769
46.1,-5.18336,-158.654
46.2,-5.2533,-158.548
46.3,-5.32487,-158.452
46.4,-5.39807,-158.367
46.5,-5.47292,-158.294
46.6,-5.54941,-158.232
46.7,-5.62755,-158.184
46.8,-5.70733,-158.15
46.9,-5.78875,-158.129
47.0,-5.87179,-158.124
47.1,-5.95643,-158.135
47.2,-6.04265,-158.164
47.3,-6.13042,-158.21
47.4,-6.21968,-158.274
47.5,-6.3104,-158.359
47.6,-6.40251,-158.465
47.7,-6.49593,-158.592
47.8,-6.59059,-158.743
47.9,-6.68639,-158.918
48.0,-6.78322,-159.117
48.1,-6.88094,-159.344
48.2,-6.97943,-159.598
48.3,-7.07851,-159.88
48.4,-7.178,-160.193
48.5,-7.27772,-160.537
48.6,-7.37743,-160.912
48.7,-7.4769,-161.321
48.8,-7.57585,-161.764
48.9,-7.674,-162.242
49.0,-7.77104,-162.756
49.1,-7.86663,-163.307
49.2,-7.96041,-163.894
49.3,-8.05199,-164.52
49.4,-8.14098,-165.183
49.5,-8.22694,-165.883
49.6,-8.30945,-166.621
49.7,-8.38805,-167.396
49.8,-8.46228,-168.207
49.9,-8.53167,-169.053
50.0,-8.59577,-169.932
50.1,-8.65413,-170.843
50.2,-8.70629,-171.784
50.3,-8.75185,-172.752
50.4,-8.79042,-173.743
50.5,-8.82165,-174.756
50.6,-8.84523,-175.787
50.7,-8.86091,-176.832
50.8,-8.86849,-177.887
50.9,-8.86783,-178.948
51.0,-8.85886,179.988
51.1,-8.84156,178.927
51.2,-8.81599,177.872
51.3,-8.78229,176.827
51.4,-8.74062,175.796
51.5,-8.69124,174.784
51.6,-8.63443,173.792
51.7,-8.57056,172.825
51.8,-8.49999,171.886
51.9,-8.42315,170.977
52.0,-8.34048,170.101
52.1,-8.25244,169.258
52.2,-8.15951,168.452
52.3,-8.06216,167.683
52.4,-7.96086,166.952
52.5,-7.85609,166.26
52.6,-7.74831,165.607
52.7,-7.63795,164.993
52.8,-7.52544,164.418
52.9,-7.41119,163.882
53.0,-7.29558,163.383
53.1,-7.17896,162.922
53.2,-7.06166,162.498
53.3,-6.944,162.109
53.4,-6.82625,161.754
53.5,-6.70868,161.432
53.6,-6.59153,161.143
53.7,-6.475,160.885
53.8,-6.35929,160.656
53.9,-6.24458,160.456
54.0,-6.131,160.283
54.1,-6.01871,160.136
54.2,-5.90782,160.014
54.3,-5.79843,159.915
54.4,-5.69062,159.839
54.5,-5.58449,159.783
54.6,-5.48008,159.748
54.7,-5.37745,159.732
54.8,-5.27665,159.733
54.9,-5.1777,159.751
55.0,-5.08064,159.786
55.1,-4.98547,159.835
55.2,-4.89222,159.898
55.3,-4.80088,159.974
55.4,-4.71146,160.063
55.5,-4.62394,160.163
55.6,-4.53833,160.274
55.7,-4.45461,160.394
55.8,-4.37276,160.525
55.9,-4.29276,160.664
56.0,-4.21459,160.811
56.1,-4.13822,160.966
56.2,-4.06364,161.128
56.3,-3.99081,161.296
56.4,-3.91971,161.47
56.5,-3.8503,161.65
56.6,-3.78256,161.834
56.7,-3.71645,162.024
56.8,-3.65194,162.218
56.9,-3.589,162.415
57.0,-3.52759,162.616
57.1,-3.46769,162.82
57.2,-3.40926,163.028
57.3,-3.35227,163.237
57.4,-3.29669,163.449
57.5,-3.24248,163.664
57.6,-3.18961,163.88
57.7,-3.13805,164.097
57.8,-3.08777,164.316
57.9,-3.03873,164.536
58.0,-2.99091,164.757
58.1,-2.94428,164.979
58.2,-2.89881,165.201
58.3,-2.85446,165.424
58.4,-2.81122,165.647
58.5,-2.76904,165.871
58.6,-2.72792,166.094
58.7,-2.6878,166.318
58.8,-2.64869,166.541
58.9,-2.61053,166.764
59.0,-2.57332,166.986
59.1,-2.53703,167.208
59.2,-2.50163,167.43
59.3,-2.46709,167.65
59.4,-2.43341,167.87
59.5,-2.40055,168.09
59.6,-2.36849,168.308
59.7,-2.33722,168.526
59.8,-2.30671,168.742
59.9,-2.27694,168.958
60.0,-2.2479,169.172
60.1,-2.21956,169.386
60.2,-2.1919,169.598
60.3,-2.16491,169.809
60.4,-2.13857,170.019
60.5,-2.11287,170.227
60.6,-2.08778,170.435
60.7,-2.0633,170.641
60.8,-2.0394,170.845
60.9,-2.01607,171.049
61.0,-1.9933,171.251
61.1,-1.97107,171.451
61.2,-1.94937,171.65
61.3,-1.92818,171.848
61.4,-1.90749,172.044
61.5,-1.88729,172.239
61.6,-1.86757,172.433
61.7,-1.84831,172.625
61.8,-1.82951,172.815
61.9,-1.81115,173.005
62.0,-1.79321,173.192
62.1,-1.7757,173.378
62.2,-1.7586,173.563
62.3,-1.74189,173.746
62.4,-1.72557,173.928
