Angle (deg),Magnitude (dB),Phase (deg)
68.7,-36.5664,-116.954
68.8,-35.0032,-120.02
68.9,-33.6571,-122.224
69.0,-32.4777,-123.881
69.1,-31.4294,-125.17
69.2,-30.4862,-126.201
69.3,-29.6292,-127.044
69.4,-28.8438,-127.747
69.5,-28.1189,-128.341
69.6,-27.4457,-128.851
69.7,-26.8172,-129.293
69.8,-26.2277,-129.68
69.9,-25.6726,-130.023
70.0,-25.1478,-130.328
70.1,-24.6501,-130.603
70.2,-24.1769,-130.851
70.3,-23.7255,-131.076
70.4,-23.2942,-131.283
70.5,-22.8809,-131.472
70.6,-22.4843,-131.648
70.7,-22.103,-131.811
70.8,-21.7356,-131.962
70.9,-21.3813,-132.104
71.0,-21.039,-132.238
71.1,-20.7078,-132.364
71.2,-20.3871,-132.483
71.3,-20.0761,-132.597
71.4,-19.7742,-132.705
71.5,-19.4809,-132.808
71.6,-19.1955,-132.907
71.7,-18.9178,-133.003
71.8,-18.6471,-133.095
71.9,-18.3832,-133.184
72.0,-18.1256,-133.27
72.1,-17.874,-133.354
72.2,-17.6282,-133.436
72.3,-17.3878,-133.516
72.4,-17.1526,-133.594
72.5,-16.9223,-133.671
72.6,-16.6967,-133.747
72.7,-16.4756,-133.821
72.8,-16.2587,-133.895
72.9,-16.0459,-133.968
73.0,-15.8371,-134.04
73.1,-15.632,-134.111
73.2,-15.4305,-134.183
73.3,-15.2324,-134.253
73.4,-15.0377,-134.324
73.5,-14.8461,-134.395
73.6,-14.6576,-134.465
73.7,-14.472,-134.536
73.8,-14.2893,-134.606
73.9,-14.1093,-134.677
74.0,-13.932,-134.748
74.1,-13.7572,-134.82
74.2,-13.5848,-134.892
74.3,-13.4148,-134.964
74.4,-13.2472,-135.037
74.5,-13.0817,-135.111
74.6,-12.9184,-135.185
74.7,-12.7572,-135.26
74.8,-12.5979,-135.336
74.9,-12.4407,-135.413
75.0,-12.2853,-135.49
75.1,-12.1318,-135.569
75.2,-11.98,-135.648
75.3,-11.83,-135.728
75.4,-11.6816,-135.81
75.5,-11.5349,-135.892
75.6,-11.3898,-135.976
75.7,-11.2462,-136.061
75.8,-11.1041,-136.147
75.9,-10.9635,-136.234
76.0,-10.8243,-136.323
76.1,-10.6864,-136.413
76.2,-10.55,-136.505
76.3,-10.4148,-136.598
76.4,-10.2809,-136.692
76.5,-10.1483,-136.788
76.6,-10.0169,-136.886
76.7,-9.88669,-136.985
76.8,-9.75764,-137.086
76.9,-9.62973,-137.188
77.0,-9.50292,-137.292
77.1,-9.3772,-137.398
77.2,-9.25255,-137.506
77.3,-9.12893,-137.616
77.4,-9.00632,-137.727
77.5,-8.88472,-137.841
77.6,-8.76408,-137.956
77.7,-8.6444,-138.073
77.8,-8.52565,-138.193
77.9,-8.40783,-138.315
78.0,-8.2909,-138.438
78.1,-8.17485,-138.564
78.2,-8.05966,-138.692
78.3,-7.94533,-138.822
78.4,-7.83183,-138.955
78.5,-7.71916,-139.09
78.6,-7.60729,-139.227
78.7,-7.49621,-139.367
78.8,-7.38591,-139.509
78.9,-7.27638,-139.654
79.0,-7.16761,-139.802
79.1,-7.05959,-139.951
79.2,-6.9523,-140.104
