Angle (deg),Magnitude (dB),Phase (deg)
48.4,-1.05864,177.452
48.5,-1.05656,177.457
48.6,-1.05447,177.462
48.7,-1.05238,177.467
48.8,-1.05029,177.473
48.9,-1.0482,177.478
49.0,-1.0461,177.483
49.1,-1.044,177.488
49.2,-1.0419,177.493
49.3,-1.03979,177.498
49.4,-1.03768,177.503
49.5,-1.03557,177.508
49.6,-1.03345,177.513
49.7,-1.03133,177.518
49.8,-1.02921,177.523
49.9,-1.02708,177.528
50.0,-1.02496,177.533
50.1,-1.02282,177.538
50.2,-1.02069,177.544
50.3,-1.01855,177.549
50.4,-1.01641,177.554
50.5,-1.01426,177.559
50.6,-1.01212,177.564
50.7,-1.00997,177.569
50.8,-1.00781,177.574
50.9,-1.00566,177.58
51.0,-1.0035,177.585
51.1,-1.00133,177.59
51.2,-0.999167,177.595
51.3,-0.996998,177.6
51.4,-0.994826,177.606
51.5,-0.992651,177.611
51.6,-0.990473,177.616
51.7,-0.988292,177.621
51.8,-0.986108,177.627
51.9,-0.98392,177.632
52.0,-0.98173,177.637
52.1,-0.979537,177.642
52.2,-0.977341,177.648
52.3,-0.975142,177.653
52.4,-0.972939,177.658
52.5,-0.970734,177.663
52.6,-0.968526,177.669
52.7,-0.966315,177.674
52.8,-0.964101,177.679
52.9,-0.961884,177.685
53.0,-0.959664,177.69
53.1,-0.957442,177.695
53.2,-0.955216,177.701
53.3,-0.952987,177.706
53.4,-0.950756,177.711
53.5,-0.948521,177.717
53.6,-0.946284,177.722
53.7,-0.944044,177.728
53.8,-0.9418,177.733
53.9,-0.939554,177.738
54.0,-0.937305,177.744
54.1,-0.935054,177.749
54.2,-0.932799,177.755
54.3,-0.930542,177.76
54.4,-0.928281,177.765
54.5,-0.926018,177.771
54.6,-0.923752,177.776
54.7,-0.921483,177.782
54.8,-0.919212,177.787
54.9,-0.916937,177.793
55.0,-0.91466,177.798
55.1,-0.91238,177.804
55.2,-0.910097,177.809
55.3,-0.907812,177.815
55.4,-0.905524,177.82
55.5,-0.903232,177.826
55.6,-0.900939,177.831
55.7,-0.898642,177.837
55.8,-0.896343,177.842
55.9,-0.89404,177.848
56.0,-0.891736,177.853
56.1,-0.889428,177.859
56.2,-0.887118,177.864
56.3,-0.884805,177.87
56.4,-0.882489,177.875
56.5,-0.880171,177.881
56.6,-0.87785,177.887
56.7,-0.875526,177.892
56.8,-0.873199,177.898
56.9,-0.87087,177.903
57.0,-0.868538,177.909
57.1,-0.866204,177.915
57.2,-0.863867,177.92
57.3,-0.861527,177.926
57.4,-0.859185,177.931
57.5,-0.85684,177.937
57.6,-0.854492,177.943
57.7,-0.852142,177.948
57.8,-0.84979,177.954
57.9,-0.847434,177.96
58.0,-0.845076,177.965
58.1,-0.842716,177.971
58.2,-0.840352,177.977
58.3,-0.837987,177.982
58.4,-0.835618,177.988
58.5,-0.833248,177.994
58.6,-0.830874,177.999
58.7,-0.828498,178.005
58.8,-0.82612,178.011
58.9,-0.823739,178.017
59.0,-0.821356,178.022
59.1,-0.818969,178.028
59.2,-0.816581,178.034
59.3,-0.81419,178.04
59.4,-0.811796,178.045
59.5,-0.809401,178.051
59.6,-0.807002,178.057
59.7,-0.804601,178.063
59.8,-0.802198,178.068
59.9,-0.799792,178.074
60.0,-0.797384,178.08
60.1,-0.794973,178.086
60.2,-0.79256,178.092
60.3,-0.790145,178.097
60.4,-0.787726,178.103
60.5,-0.785306,178.109
60.6,-0.782883,178.115
60.7,-0.780458,178.121
60.8,-0.778031,178.127
60.9,-0.775601,178.132
61.0,-0.773168,178.138
61.1,-0.770734,178.144
61.2,-0.768297,178.15
61.3,-0.765858,178.156
61.4,-0.763416,178.162
61.5,-0.760972,178.168
61.6,-0.758525,178.173
61.7,-0.756077,178.179
61.8,-0.753626,178.185
61.9,-0.751172,178.191
62.0,-0.748717,178.197
62.1,-0.746259,178.203
62.2,-0.743799,178.209
62.3,-0.741336,178.215
62.4,-0.738872,178.221
62.5,-0.736405,178.227
62.6,-0.733935,178.233
62.7,-0.731464,178.238
62.8,-0.72899,178.244
62.9,-0.726514,178.25
63.0,-0.724036,178.256
63.1,-0.721556,178.262
63.2,-0.719073,178.268
63.3,-0.716588,178.274
63.4,-0.714101,178.28
63.5,-0.711612,178.286
63.6,-0.709121,178.292
63.7,-0.706628,178.298
63.8,-0.704132,178.304
63.9,-0.701634,178.31
64.0,-0.699134,178.316
64.1,-0.696632,178.322
64.2,-0.694128,178.328
64.3,-0.691622,178.334
64.4,-0.689113,178.34
64.5,-0.686603,178.346
64.6,-0.68409,178.352
64.7,-0.681575,178.359
64.8,-0.679058,178.365
64.9,-0.67654,178.371
65.0,-0.674019,178.377
65.1,-0.671495,178.383
65.2,-0.66897,178.389
65.3,-0.666443,178.395
65.4,-0.663914,178.401
65.5,-0.661383,178.407
65.6,-0.65885,178.413
65.7,-0.656314,178.419
65.8,-0.653777,178.425
65.9,-0.651238,178.431
66.0,-0.648697,178.438
66.1,-0.646154,178.444
66.2,-0.643608,178.45
66.3,-0.641061,178.456
66.4,-0.638512,178.462
66.5,-0.635961,178.468
66.6,-0.633408,178.474
66.7,-0.630853,178.481
66.8,-0.628296,178.487
66.9,-0.625737,178.493
67.0,-0.623176,178.499
67.1,-0.620614,178.505
67.2,-0.618049,178.511
67.3,-0.615483,178.518
67.4,-0.612915,178.524
67.5,-0.610344,178.53
67.6,-0.607772,178.536
67.7,-0.605199,178.542
67.8,-0.602623,178.548
67.9,-0.600045,178.555
68.0,-0.597466,178.561
68.1,-0.594885,178.567
68.2,-0.592301,178.573
68.3,-0.589717,178.58
68.4,-0.58713,178.586
